symbol,name,nameUpperCase
UG5A.F,TIGER BRANDS,TIGER BRANDS
YZA.F,ARYZTA N,ARYZTA N
BTHR,"Sports Venues of Florida, Inc.","SPORTS VENUES OF FLORIDA, INC."
KWALITY.NS,Kwality Limited,KWALITY LIMITED
ZSK.F,SUNOPTA,SUNOPTA
ZMF.SG,CHINA MARINE FOOD,CHINA MARINE FOOD
L46.SI,Luzhou Bio-chem Technology Limited,LUZHOU BIO-CHEM TECHNOLOGY LIMITED
JVLAGRO.BO,JVL Agro Industries Ltd,JVL AGRO INDUSTRIES LTD
ZMF.F,CHINA MARINE FOOD,CHINA MARINE FOOD
MFI.TO,Maple Leaf Foods Inc.,MAPLE LEAF FOODS INC.
VIKASGRAN.BO,Vikas Granaries Ltd,VIKAS GRANARIES LTD
ZZ8.F,CHINA HUIYUAN JUICE,CHINA HUIYUAN JUICE
YZA.DU,ARYZTA N,ARYZTA N
VLS.MI,Valsoia SpA,VALSOIA SPA
PATY.BA,Quickfood Sociedad Anonima,QUICKFOOD SOCIEDAD ANONIMA
B0Z.SI,China Fishery Group Limited,CHINA FISHERY GROUP LIMITED
LWAY,Lifeway Foods Inc.,LIFEWAY FOODS INC.
ZO1.DU,ZOOPLUS,ZOOPLUS
8269.HK,WEALTH GLORY,WEALTH GLORY
SABE.PA,Sabeton SA,SABETON SA
HERDEZ.MX,"Grupo Herdez,Sociedad An¢nima Burs til de Capital Variable
","GRUPO HERDEZ,SOCIEDAD AN¢NIMA BURS TIL DE CAPITAL VARIABLE
"
TATACOFFE.NS,Tata Coffee Ltd.,TATA COFFEE LTD.
D03.SI,Del Monte Pacific Limited,DEL MONTE PACIFIC LIMITED
PBH.TO,Premium Brands Holdings Corporation,PREMIUM BRANDS HOLDINGS CORPORATION
YUII,"Yuhe International, Inc.","YUHE INTERNATIONAL, INC."
UG5A.SG,TIGER BRANDS,TIGER BRANDS
ZSK.DU,SUNOPTA,SUNOPTA
ZMF.BE,CHINA MARINE FOOD,CHINA MARINE FOOD
YZA.SG,ARYZTA N,ARYZTA N
RIBT,RiceBran Technologies,RICEBRAN TECHNOLOGIES
UG5A.BE,TIGER BRANDS,TIGER BRANDS
4HQ.F,WANT WANT CHINA,WANT WANT CHINA
KSELTD.BO,KSE Ltd.,KSE LTD.
RAJOIL.BO,Raj Oil Mills Limited,RAJ OIL MILLS LIMITED
BIMBOA.MX,"Grupo Bimbo, S.A.B. de C.V.","GRUPO BIMBO, S.A.B. DE C.V."
S10.SI,Super Group Ltd.,SUPER GROUP LTD.
GM2.SG,KEURIG GREEN MOUNT,KEURIG GREEN MOUNT
YZA.BE,ARYZTA N,ARYZTA N
LANC,Lancaster Colony Corporation,LANCASTER COLONY CORPORATION
NSP.V,Naturally Splendid Enterprises Ltd.,NATURALLY SPLENDID ENTERPRISES LTD.
C7Y.BE,CHINA YURUN FOOD GP,CHINA YURUN FOOD GP
DUC.PA,"Duc Soci‚t‚ Anonyme
","DUC SOCI‚T‚ ANONYME
"
KYGA.L,Kerry Group plc,KERRY GROUP PLC
PF,Pinnacle Foods Inc.,PINNACLE FOODS INC.
ZO1.SG,ZOOPLUS,ZOOPLUS
KRBL.NS,KRBL Limited,KRBL LIMITED
ZSK.BE,SUNOPTA,SUNOPTA
KANELOIL.BO,Kanel Industries Limited,KANEL INDUSTRIES LIMITED
3M0.DU,MEIJI HLDGS,MEIJI HLDGS
FRPT,"Freshpet, Inc.","FRESHPET, INC."
ZZ8.SG,CHINA HUIYUAN JUICE,CHINA HUIYUAN JUICE
MINSAB.MX,Grupo Minsa S.A.B. de C.V.,GRUPO MINSA S.A.B. DE C.V.
1717.HK,AUSNUTRIA,AUSNUTRIA
MMMB,"MamaMancini's Holdings, Inc.","MAMAMANCINI'S HOLDINGS, INC."
TPK.TO,Ten Peaks Coffee Company Inc,TEN PEAKS COFFEE COMPANY INC
Z1L.DE,"Ler›y Seafood Group Asa
","LER›Y SEAFOOD GROUP ASA
"
KCPSUGIND.NS,KCP Sugar & Industries Corp Ltd.,KCP SUGAR & INDUSTRIES CORP LTD.
WILC,G. Willi Food-International Ltd.,G. WILLI FOOD-INTERNATIONAL LTD.
XYL.V,Xylitol Canada Inc.,XYLITOL CANADA INC.
0841.HK,CASSAVA RES,CASSAVA RES
MCX.DU,MCCORMICK NON VTG,MCCORMICK NON VTG
1006.HK,CHANGSHOUHUA,CHANGSHOUHUA
3M0.F,MEIJI HLDGS,MEIJI HLDGS
ZO1.BE,ZOOPLUS,ZOOPLUS
1174.HK,Pacific Andes International Holdings Ltd.,PACIFIC ANDES INTERNATIONAL HOLDINGS LTD.
VIS.F,VISCOFAN,VISCOFAN
3838.HK,CHINA STARCH,CHINA STARCH
0220.HK,U-PRESID CHINA,U-PRESID CHINA
TATE.L,Tate & Lyle plc,TATE & LYLE PLC
C7Y.MU,CHINA YURUN FOOD GP,CHINA YURUN FOOD GP
PFD.L,Premier Foods plc,PREMIER FOODS PLC
U01.SI,United Food Holdings Limited,UNITED FOOD HOLDINGS LIMITED
H2R.DE,Halloren Schokoladenfabrik Aktiengesellschaft,HALLOREN SCHOKOLADENFABRIK AKTIENGESELLSCHAFT
VIMALOILQ.BO,Vimal Oil & Foods Limited,VIMAL OIL & FOODS LIMITED
CLR.TO,Clearwater Seafoods Incorporated,CLEARWATER SEAFOODS INCORPORATED
ZO1.MU,ZOOPLUS,ZOOPLUS
KWZ2.MU,KON.WESSANEN,KON.WESSANEN
TOF,Tofutti Brands Inc.,TOFUTTI BRANDS INC.
KEL.DE,Kellogg Company,KELLOGG COMPANY
KSE.NS,KSE Ltd.,KSE LTD.
VADILINDQ.BO,Vadilal Industries,VADILAL INDUSTRIES
WATER.BO,The Waterbase Limited,THE WATERBASE LIMITED
ABF.L,Associated British Foods plc,ASSOCIATED BRITISH FOODS PLC
1230.HK,YASHILI INT'L,YASHILI INT'L
7KT.DE,KTG Agrar SE,KTG AGRAR SE
ANFI,Amira Nature Foods Ltd.,AMIRA NATURE FOODS LTD.
2319.HK,MENGNIU DAIRY,MENGNIU DAIRY
KOHINOOR.NS,Kohinoor Foods Ltd.,KOHINOOR FOODS LTD.
ZO1.HA,ZOOPLUS,ZOOPLUS
1068.HK,China Yurun Food Group Ltd.,CHINA YURUN FOOD GROUP LTD.
HINDIND.BO,Hind Industries Ltd,HIND INDUSTRIES LTD
Q01.SI,QAF Limited,QAF LIMITED
1886.HK,HUIYUAN JUICE,HUIYUAN JUICE
CENT,Central Garden & Pet Company,CENTRAL GARDEN & PET COMPANY
VIRATCRA.BO,Virat Crane Industries Ltd.,VIRAT CRANE INDUSTRIES LTD.
NI3.DU,NICHIREI,NICHIREI
KRBL.BO,KRBL Limited,KRBL LIMITED
Z85.F,AUSTEVOLL SEAFOOD,AUSTEVOLL SEAFOOD
CHEF,"The Chefs' Warehouse, Inc.","THE CHEFS' WAREHOUSE, INC."
SPTN,SpartanNash Company,SPARTANNASH COMPANY
HAIN,"The Hain Celestial Group, Inc.","THE HAIN CELESTIAL GROUP, INC."
DIT,AMCON Distributing Co.,AMCON DISTRIBUTING CO.
0374.HK,FOUR SEAS MER,FOUR SEAS MER
CORE,"Core-Mark Holding Company, Inc.","CORE-MARK HOLDING COMPANY, INC."
O32.SI,Olam International Limited,OLAM INTERNATIONAL LIMITED
ALHER.PA,Heracles SA,HERACLES SA
T16.SI,China Dairy Group Ltd.,CHINA DAIRY GROUP LTD.
NWF.L,NWF Group plc,NWF GROUP PLC
GCL.TO,Colabor Group Inc.,COLABOR GROUP INC.
MLSRP.PA,Speed Rabbit Pizza,SPEED RABBIT PIZZA
MIKO.BR,Miko NV,MIKO NV
K03.SI,Khong Guan Flour Milling Limited,KHONG GUAN FLOUR MILLING LIMITED
SYY,Sysco Corporation,SYSCO CORPORATION
HPG1.F,CHINA ENERGY DEVL,CHINA ENERGY DEVL
0197.HK,HENG TAI,HENG TAI
0060.HK,Hong Kong Food Investment Holdings Limited,HONG KONG FOOD INVESTMENT HOLDINGS LIMITED
UNFI,"United Natural Foods, Inc.","UNITED NATURAL FOODS, INC."
LYG,Lloyds Banking Group plc,LLOYDS BANKING GROUP PLC
WBK,Westpac Banking Corporation,WESTPAC BANKING CORPORATION
HSBC,HSBC Holdings plc,HSBC HOLDINGS PLC
SAN,"Banco Santander, S.A.","BANCO SANTANDER, S.A."
UBS,UBS AG,UBS AG
SFBS,"ServisFirst Bancshares, Inc.","SERVISFIRST BANCSHARES, INC."
BLX,"Banco Latinoamericano de Comercio Exterior, S.A","BANCO LATINOAMERICANO DE COMERCIO EXTERIOR, S.A"
CS,Credit Suisse Group AG,CREDIT SUISSE GROUP AG
EWBC,"East West Bancorp, Inc.","EAST WEST BANCORP, INC."
BCS,Barclays PLC,BARCLAYS PLC
BCA,CorpBanca,CORPBANCA
WF,Woori Bank,WOORI BANK
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.","BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
BSBR,Banco Santander (Brasil) S.A.,BANCO SANTANDER (BRASIL) S.A.
BFR,"BBVA Banco Franc‚s SA
","BBVA BANCO FRANC‚S SA
"
BBDO,Banco Bradesco S.A.,BANCO BRADESCO S.A.
DB,Deutsche Bank AG,DEUTSCHE BANK AG
CIB,Bancolombia S.A.,BANCOLOMBIA S.A.
BPOP,"Popular, Inc.","POPULAR, INC."
HDB,HDFC Bank Ltd.,HDFC BANK LTD.
IRE,The Governor and Company of the Bank of Ireland,THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND
FBP,First Bancorp,FIRST BANCORP
BCH,Banco de Chile,BANCO DE CHILE
KB,"KB Financial Group, Inc.","KB FINANCIAL GROUP, INC."
BSMX,"Grupo Financiero Santander Mexico, S.A.B. de C.V.","GRUPO FINANCIERO SANTANDER MEXICO, S.A.B. DE C.V."
GGAL,Grupo Financiero Galicia S.A.,GRUPO FINANCIERO GALICIA S.A.
SMFG,"Sumitomo Mitsui Financial Group, Inc.","SUMITOMO MITSUI FINANCIAL GROUP, INC."
BBD,Banco Bradesco S.A.,BANCO BRADESCO S.A.
NBCB,First NBC Bank Holding Company,FIRST NBC BANK HOLDING COMPANY
ITUB,Ita£ Unibanco Holding S.A.,ITA£ UNIBANCO HOLDING S.A.
BMA,Banco Macro S.A.,BANCO MACRO S.A.
SHG,Shinhan Financial Group Company Limited,SHINHAN FINANCIAL GROUP COMPANY LIMITED
MFG,"Mizuho Financial Group, Inc.","MIZUHO FINANCIAL GROUP, INC."
ENI,Enersis S.A.,ENERSIS S.A.
CPL,CPFL Energia S.A.,CPFL ENERGIA S.A.
AYA.TO,"Amaya, Inc.","AMAYA, INC."
TIM.SG,ZEAL NET -NPV-,ZEAL NET -NPV-
8198.HK,MELCOLOT,MELCOLOT
TTS.AX,Tatts Group Limited,TATTS GROUP LIMITED
LAD.L,Ladbrokes PLC,LADBROKES PLC
TIM.DU,ZEAL NET -NPV-,ZEAL NET -NPV-
SGMS,Scientific Games Corporation,SCIENTIFIC GAMES CORPORATION
PYD.V,Poydras Gaming Finance Corp.,POYDRAS GAMING FINANCE CORP.
TAH.AX,Tabcorp Holdings Ltd.,TABCORP HOLDINGS LTD.
HWC.BE,HEIWA,HEIWA
AGI.AX,Ainsworth Game Technology Ltd.,AINSWORTH GAME TECHNOLOGY LTD.
GC.TO,Great Canadian Gaming Corp.,GREAT CANADIAN GAMING CORP.
DEQ.V,DEQ Systems Corporation,DEQ SYSTEMS CORPORATION
CPHC,Canterbury Park Holding Corporation,CANTERBURY PARK HOLDING CORPORATION
TIM.BE,ZEAL NET -NPV-,ZEAL NET -NPV-
WBAI,500.com Limited,500.COM LIMITED
KING,King Digital Entertainment plc,KING DIGITAL ENTERTAINMENT PLC
PTEC.L,Playtech plc,PLAYTECH PLC
TIM.F,ZEAL NET -NPV-,ZEAL NET -NPV-
TWOC,Trans World Corporation,TRANS WORLD CORPORATION
DDE,Dover Downs Gaming & Entertainment Inc.,DOVER DOWNS GAMING & ENTERTAINMENT INC.
IKGH,Iao Kun Group Holding Company Limited,IAO KUN GROUP HOLDING COMPANY LIMITED
N4G.BE,GTECH,GTECH
WMH.L,William Hill plc,WILLIAM HILL PLC
MGAM,"Multimedia Games Holding Company, Inc.","MULTIMEDIA GAMES HOLDING COMPANY, INC."
WORD.SG,CHINA LOTSYNERGY,CHINA LOTSYNERGY
CHDN,Churchill Downs Inc.,CHURCHILL DOWNS INC.
APU,AmeriGas Partners LP,AMERIGAS PARTNERS LP
SMLP,"Summit Midstream Partners, LP","SUMMIT MIDSTREAM PARTNERS, LP"
UIL,UIL Holdings Corporation,UIL HOLDINGS CORPORATION
DGAS,"Delta Natural Gas Company, Inc.","DELTA NATURAL GAS COMPANY, INC."
SXE,"Southcross Energy Partners, L.P.","SOUTHCROSS ENERGY PARTNERS, L.P."
0003.HK,The Hong Kong and China Gas Company Limited,THE HONG KONG AND CHINA GAS COMPANY LIMITED
ATO,Atmos Energy Corporation,ATMOS ENERGY CORPORATION
J4S.F,SOUTH JERSEY IND,SOUTH JERSEY IND
XSG.F,SAIBU GAS,SAIBU GAS
QUS.F,QUESTAR CORP,QUESTAR CORP
SWX,Southwest Gas Corporation,SOUTHWEST GAS CORPORATION
STR,Questar Corporation,QUESTAR CORPORATION
WGL,WGL Holdings Inc.,WGL HOLDINGS INC.
NKA,Niska Gas Storage Partners LLC,NISKA GAS STORAGE PARTNERS LLC
CNP,"CenterPoint Energy, Inc.","CENTERPOINT ENERGY, INC."
NJ1.F,NEW JERSEY RES,NEW JERSEY RES
LG,"The Laclede Group, Inc.","THE LACLEDE GROUP, INC."
CPK,Chesapeake Utilities Corporation,CHESAPEAKE UTILITIES CORPORATION
SPH,"Suburban Propane Partners, L.P.","SUBURBAN PROPANE PARTNERS, L.P."
NGG,National Grid plc,NATIONAL GRID PLC
TEG,"Integrys Energy Group, Inc.","INTEGRYS ENERGY GROUP, INC."
SJI,"South Jersey Industries, Inc.","SOUTH JERSEY INDUSTRIES, INC."
CQH,"Cheniere Energy Partners LP Holdings, LLC","CHENIERE ENERGY PARTNERS LP HOLDINGS, LLC"
NWN,Northwest Natural Gas Company,NORTHWEST NATURAL GAS COMPANY
1083.HK,TOWNGAS CHINA,TOWNGAS CHINA
CFY.V,Changfeng Energy Inc.,CHANGFENG ENERGY INC.
AJ2.SI,Ouhua Energy Holdings Limited,OUHUA ENERGY HOLDINGS LIMITED
W-PH.TO,Westcoast Energy Inc.,WESTCOAST ENERGY INC.
VNR.TO,Valener Inc,VALENER INC
2688.HK,ENN ENERGY,ENN ENERGY
CLNE,Clean Energy Fuels Corp.,CLEAN ENERGY FUELS CORP.
EGAS,Gas Natural Inc.,GAS NATURAL INC.
QUS.BE,QUESTAR CORP,QUESTAR CORP
TOG.BE,TOKYO GAS,TOKYO GAS
RGCO,"RGC Resources, Inc.","RGC RESOURCES, INC."
GAS,AGL Resources Inc.,AGL RESOURCES INC.
OKE,ONEOK Inc.,ONEOK INC.
GUJRATGAS.NS,Gujarat Gas Company Limited,GUJARAT GAS COMPANY LIMITED
PNY,Piedmont Natural Gas Co. Inc.,PIEDMONT NATURAL GAS CO. INC.
GKG.BE,DUET GROUP,DUET GROUP
TGS,Transportadora de Gas Del Sur S.A.,TRANSPORTADORA DE GAS DEL SUR S.A.
NJR,New Jersey Resources Corp.,NEW JERSEY RESOURCES CORP.
MAS,Masco Corporation,MASCO CORPORATION
HW,Headwaters Incorporated,HEADWATERS INCORPORATED
CCCL,"China Ceramics Co., Ltd.","CHINA CERAMICS CO., LTD."
CSTE,CaesarStone Sdot-Yam Ltd.,CAESARSTONE SDOT-YAM LTD.
TREX,Trex Co. Inc.,TREX CO. INC.
CBPX,"Continental Building Products, Inc.","CONTINENTAL BUILDING PRODUCTS, INC."
JHX.AX,James Hardie Industries plc,JAMES HARDIE INDUSTRIES PLC
CIL.F,LAFARGE,LAFARGE
HIL.AX,Hills Limited,HILLS LIMITED
VCT.PA,Vicat SA,VICAT SA
CADC,"China Advanced Construction Materials Group, Inc.","CHINA ADVANCED CONSTRUCTION MATERIALS GROUP, INC."
STCK,"Stock Building Supply Holdings, Inc.","STOCK BUILDING SUPPLY HOLDINGS, INC."
NXR.L,Norcros plc,NORCROS PLC
91A.BE,ARMSTRONG WORLD IND,ARMSTRONG WORLD IND
1313.HK,CHINARES CEMENT,CHINARES CEMENT
CCOM,"CCOM Group, Inc.","CCOM GROUP, INC."
CTLE,Nano Labs Corp.,NANO LABS CORP.
NITCO.BO,Nitco Limited,NITCO LIMITED
HEI.SG,HEIDELBERGCEMENT,HEIDELBERGCEMENT
NCLIND.BO,NCL Industries Limited,NCL INDUSTRIES LIMITED
JENSONIC.BO,Jenson & Nicholson (India) Limited,JENSON & NICHOLSON (INDIA) LIMITED
NCS,NCI Building Systems Inc.,NCI BUILDING SYSTEMS INC.
VMMA.PA,"VM Mat‚riaux
","VM MAT‚RIAUX
"
APOG,"Apogee Enterprises, Inc.","APOGEE ENTERPRISES, INC."
SHREECEM.BO,Shree Cement Limited,SHREE CEMENT LIMITED
WIB.DE,Wienerberger AG,WIENERBERGER AG
NI9.F,NIPPON SHEET GLASS,NIPPON SHEET GLASS
NTK,Nortek Inc.,NORTEK INC.
XI9.F,XINYI GLASS HLDGS,XINYI GLASS HLDGS
AAON,AAON Inc.,AAON INC.
VMC.F,VULCAN MATERIALS,VULCAN MATERIALS
INH.DE,INDUS Holding AG,INDUS HOLDING AG
PGEM,"Ply Gem Holdings, Inc","PLY GEM HOLDINGS, INC"
5S2.F,SHO-BOND HLDG,SHO-BOND HLDG
2233.HK,WESTCHINACEMENT,WESTCHINACEMENT
OZV2.SG,PPC -NPV-,PPC -NPV-
TPK.L,Travis Perkins plc,TRAVIS PERKINS PLC
SGO.PA,Compagnie de Saint-Gobain S.A.,COMPAGNIE DE SAINT-GOBAIN S.A.
WOS.L,Wolseley plc,WOLSELEY PLC
USCR,"U.S. Concrete, Inc.","U.S. CONCRETE, INC."
XST.BE,SANWA HOLDINGS,SANWA HOLDINGS
LG.PA,Lafarge S.A.,LAFARGE S.A.
CWX.TO,CanWel Building Materials Group Ltd.,CANWEL BUILDING MATERIALS GROUP LTD.
ASPN,"Aspen Aerogels, Inc.","ASPEN AEROGELS, INC."
KGP.L,Kingspan Group plc,KINGSPAN GROUP PLC
FBU.NZ,Fletcher Building Ltd.,FLETCHER BUILDING LTD.
USLM,"United States Lime & Minerals, Inc.","UNITED STATES LIME & MINERALS, INC."
BECN,"Beacon Roofing Supply, Inc.","BEACON ROOFING SUPPLY, INC."
VIC.TO,Vicwest Inc,VICWEST INC
OZV2.F,PPC -NPV-,PPC -NPV-
TGLS,Tecnoglass Inc.,TECNOGLASS INC.
CRH.L,CRH plc,CRH PLC
LAMOSA.MX,"Grupo Lamosa, SAB de CV","GRUPO LAMOSA, SAB DE CV"
DOOR,Masonite International Corporation,MASONITE INTERNATIONAL CORPORATION
RGSE,"Real Goods Solar, Inc.","REAL GOODS SOLAR, INC."
OC,Owens Corning,OWENS CORNING
PLS.TO,Polaris Minerals Corp,POLARIS MINERALS CORP
AWI,"Armstrong World Industries, Inc.","ARMSTRONG WORLD INDUSTRIES, INC."
D3I.F,DIST & WHSE NTWRK,DIST & WHSE NTWRK
GFF,Griffon Corporation,GRIFFON CORPORATION
JKCEM.BO,J.K. Cement Ltd,J.K. CEMENT LTD
MLM,Martin Marietta Materials Inc.,MARTIN MARIETTA MATERIALS INC.
OLH.AX,Oldfields Holdings Limited,OLDFIELDS HOLDINGS LIMITED
USG,USG Corporation,USG CORPORATION
SINTEX.BO,Sintex Industries Limited,SINTEX INDUSTRIES LIMITED
AXIH,"Axion International Holdings, Inc.","AXION INTERNATIONAL HOLDINGS, INC."
FERR.BA,Ferrum Sociedad Anonima de Ceramica y Metalurgia,FERRUM SOCIEDAD ANONIMA DE CERAMICA Y METALURGIA
MADHAV.NS,Madhav Marbles and Granites Ltd,MADHAV MARBLES AND GRANITES LTD
MSLH.L,Marshalls plc,MARSHALLS PLC
OKJ.AX,Oakajee Corporation Limited,OAKAJEE CORPORATION LIMITED
INH.BE,INDUS HOLDING,INDUS HOLDING
BZUR.MI,Buzzi Unicem SpA,BUZZI UNICEM SPA
N02.SI,NSL Ltd.,NSL LTD.
HEI.DE,HeidelbergCement AG,HEIDELBERGCEMENT AG
WIB.SG,WIENERBERGER AG,WIENERBERGER AG
TH7.F,TCC INTL HLDGS,TCC INTL HLDGS
P52.SI,Pan-United Corporation Ltd,PAN-UNITED CORPORATION LTD
VMC,Vulcan Materials Company,VULCAN MATERIALS COMPANY
TIE.BE,TAIHEIYO CEMENT,TAIHEIYO CEMENT
1136.HK,TCC INT'L HOLD,TCC INT'L HOLD
NX,Quanex Building Products Corporation,QUANEX BUILDING PRODUCTS CORPORATION
PGTI,"PGT, Inc.","PGT, INC."
UFPI,Universal Forest Products Inc.,UNIVERSAL FOREST PRODUCTS INC.
STO3.F,STO VZ,STO VZ
91A.F,ARMSTRONG WORLD IND,ARMSTRONG WORLD IND
IBP,"Installed Building Products, Inc.","INSTALLED BUILDING PRODUCTS, INC."
KAKATCEM.NS,Kakatiya Cement Sugar and Industries Limited,KAKATIYA CEMENT SUGAR AND INDUSTRIES LIMITED
GCC.MX,Grupo Cementos de Chihuahua SAB de CV,GRUPO CEMENTOS DE CHIHUAHUA SAB DE CV
OCL.NS,OCL India Limited,OCL INDIA LIMITED
VMC.SG,VULCAN MATERIALS,VULCAN MATERIALS
Z59.SI,Yoma Strategic Holdings Ltd.,YOMA STRATEGIC HOLDINGS LTD.
IESC,"Integrated Electrical Services, Inc.","INTEGRATED ELECTRICAL SERVICES, INC."
ASHRAM.BO,Ashram Online.com Ltd.,ASHRAM ONLINE.COM LTD.
VJC.SG,JGC CORP,JGC CORP
OBA.F,OBAYASHI,OBAYASHI
JPASSOCIA.NS,Jaiprakash Associates Limited,JAIPRAKASH ASSOCIATES LIMITED
FWI.BE,FOSTER WHEELER N,FOSTER WHEELER N
OKA.F,OKUMURA CORP,OKUMURA CORP
LT.NS,Larsen & Toubro Limited,LARSEN & TOUBRO LIMITED
KNRCON.NS,KNR Constructions Limited.,KNR CONSTRUCTIONS LIMITED.
M6Q.SG,OUTOTEC,OUTOTEC
ICA.MX,"Empresas ICA, S.A.B. de C.V.","EMPRESAS ICA, S.A.B. DE C.V."
YV4.F,RCR TOMLINSON,RCR TOMLINSON
DOW.AX,Downer EDI Limited,DOWNER EDI LIMITED
M6Q.BE,OUTOTEC,OUTOTEC
KLR.L,Keller Group plc,KELLER GROUP PLC
WSP.TO,WSP Global Inc.,WSP GLOBAL INC.
VTQ.SG,VERSAR INC,VERSAR INC
KAJ.F,KAJIMA,KAJIMA
KEP1.SG,KEPPEL CORP,KEPPEL CORP
1318.HK,GREENS HOLDINGS,GREENS HOLDINGS
BN4.SI,Keppel Corporation Limited,KEPPEL CORPORATION LIMITED
OTC.AX,OTOC Limited,OTOC LIMITED
EN.PA,Bouygues SA,BOUYGUES SA
ICSA.F,EMPRESAS ICA,EMPRESAS ICA
3303.HK,JUTAL OIL SER,JUTAL OIL SER
FIX,Comfort Systems USA Inc.,COMFORT SYSTEMS USA INC.
XD4.MU,STRABAG,STRABAG
AYO.DE,Abengoa SA,ABENGOA SA
VJC.BE,JGC CORP,JGC CORP
VIE.AX,Viento Group Limited,VIENTO GROUP LIMITED
JP2.F,POYRY,POYRY
XSZ.F,SHIMIZU CORP,SHIMIZU CORP
KNRCON.BO,KNR Constructions Limited.,KNR CONSTRUCTIONS LIMITED.
G7Y.F,YONGNAM HLDGS,YONGNAM HLDGS
TFI.MI,TREVI - Finanziaria Industriale S.p.A.,TREVI - FINANZIARIA INDUSTRIALE S.P.A.
YIT.SG,YIT,YIT
WDS.AX,WDS Limited,WDS LIMITED
5AA.BE,WIJAYA KARYA,WIJAYA KARYA
UGL.AX,UGL Limited,UGL LIMITED
VMG.AX,VDM Group Limited,VDM GROUP LIMITED
XD4.SG,STRABAG,STRABAG
YIT.DU,YIT,YIT
MAH.AX,MacMahon Holdings Ltd.,MACMAHON HOLDINGS LTD.
AREVA.PA,Areva S.A.,AREVA S.A.
EME,EMCOR Group Inc.,EMCOR GROUP INC.
K1Q.SI,T T J Holdings Limited,T T J HOLDINGS LIMITED
F1E.SI,Low Keng Huat (Singapore) Limited,LOW KENG HUAT (SINGAPORE) LIMITED
QF6.SI,Swee Hong Limited,SWEE HONG LIMITED
OCI1.DE,"Actividades de Construcci¢n y Servicios, S.A.
","ACTIVIDADES DE CONSTRUCCI¢N Y SERVICIOS, S.A.
"
TKK1.SG,TAISEI,TAISEI
LDYA.F,MURRAY & ROB HLDGS,MURRAY & ROB HLDGS
VASCONEQ.NS,Vascon Engineers Ltd,VASCON ENGINEERS LTD
MYRG,"MYR Group, Inc.","MYR GROUP, INC."
E3B.SI,Wee Hur Holdings Ltd.,WEE HUR HOLDINGS LTD.
OCI1.BE,ACS,ACS
SEC.PA,Soditech Ingenierie SA,SODITECH INGENIERIE SA
CKK.V,Cordy Oilfield Services Inc.,CORDY OILFIELD SERVICES INC.
WID.F,WINDHOFF,WINDHOFF
LEI.AX,Leighton Holdings Limited,LEIGHTON HOLDINGS LIMITED
LAM.L,Lamprell plc,LAMPRELL PLC
SQU.BE,VINCI ,VINCI 
DG.PA,VINCI S.A.,VINCI S.A.
VALECHEN.BO,Valecha Engineering Ltd.,VALECHA ENGINEERING LTD.
KEDIACN.BO,"Kedia Construction Co., Ltd.","KEDIA CONSTRUCTION CO., LTD."
QAA.SG,QUANTA SERVICES,QUANTA SERVICES
KJ5.SI,BBR Holdings (S) Ltd,BBR HOLDINGS (S) LTD
SNC.TO,SNC-Lavalin Group Inc.,SNC-LAVALIN GROUP INC.
OBA.DU,OBAYASHI,OBAYASHI
UG8K.MU,AVENG,AVENG
GKX.V,Gemini Corp.,GEMINI CORP.
G6N.F,GROUP FIVE,GROUP FIVE
JEG.F,JACOBS ENGIN GROUP,JACOBS ENGIN GROUP
YIT.F,YIT,YIT
FWI.F,FOSTER WHEELER N,FOSTER WHEELER N
YRM.MI,Rosetti Marino S.p.A.,ROSETTI MARINO S.P.A.
QAA.F,QUANTA SERVICES,QUANTA SERVICES
NYVK.F,SINO-THAI NVDR,SINO-THAI NVDR
JEG.SG,JACOBS ENGIN GROUP,JACOBS ENGIN GROUP
SOX.TO,Stuart Olson Inc.,STUART OLSON INC.
VSFPROJ.BO,VSF Projects Limited,VSF PROJECTS LIMITED
TSE.AX,Transfield Services Limited,TRANSFIELD SERVICES LIMITED
WTB3.MU,WALTER BAU VZ,WALTER BAU VZ
PIKE,Pike Corporation,PIKE CORPORATION
2288.HK,RYKADAN CAPITAL,RYKADAN CAPITAL
BAD.TO,Badger Daylighting Ltd.,BADGER DAYLIGHTING LTD.
MGNS.L,Morgan Sindall Group plc,MORGAN SINDALL GROUP PLC
SQU.SG,VINCI ,VINCI 
CBI,Chicago Bridge & Iron Company N.V.,CHICAGO BRIDGE & IRON COMPANY N.V.
QCQ.F,CORDY OILFIELD SVCS,CORDY OILFIELD SVCS
RGI.V,Reco International Group Inc.,RECO INTERNATIONAL GROUP INC.
UG8K.F,AVENG,AVENG
STEWARTQ.BO,Stewarts & Lloyds Of India Ltd.,STEWARTS & LLOYDS OF INDIA LTD.
PWR,"Quanta Services, Inc.","QUANTA SERVICES, INC."
0190.HK,HKC (Holdings) Limited,HKC (HOLDINGS) LIMITED
KAJ.SG,KAJIMA,KAJIMA
PRXG,Pernix Group Inc,PERNIX GROUP INC
GWBU,Great Wall Builders Ltd.,GREAT WALL BUILDERS LTD.
SQU.MU,VINCI ,VINCI 
5DL.SI,Koon Holdings Limited,KOON HOLDINGS LIMITED
